provincia,localidad,empresa,empresabandera,producto,fecha_vigencia,precio,fecha_descarga,precio_usd,dolar_bn
BUENOS AIRES,17 DE AGOSTO,COOPERATIVA AGRÍCOLA GANADERA LTDA. DE PUAN,BLANCA,Gas Oil Grado 2,2017-04-05 10:53:00,17.08,2026-03-03,0.0119,1435.0
BUENOS AIRES,17 DE AGOSTO,COOPERATIVA AGRÍCOLA GANADERA LTDA. DE PUAN,BLANCA,Gas Oil Grado 3,2017-04-05 10:53:00,20.33,2026-03-03,0.0142,1435.0
BUENOS AIRES,17 DE AGOSTO,COOPERATIVA AGRÍCOLA GANADERA LTDA. DE PUAN,BLANCA,Nafta (premium) de más de 95 Ron,2017-01-18 09:31:00,22.98,2026-03-03,0.016,1435.0
BUENOS AIRES,17 DE AGOSTO,COOPERATIVA AGRÍCOLA GANADERA LTDA. DE PUAN,BLANCA,Nafta (súper) entre 92 y 95 Ron,2017-01-18 09:32:00,20.59,2026-03-03,0.0143,1435.0
BUENOS AIRES,25 DE MAYO,25 ALVEAR S.R.L,SHELL C.A.P.S.A.,Gas Oil Grado 2,2025-07-09 20:13:00,1370.0,2026-03-03,0.9547,1435.0
BUENOS AIRES,25 DE MAYO,25 ALVEAR S.R.L,SHELL C.A.P.S.A.,Gas Oil Grado 3,2025-07-09 20:18:00,1560.0,2026-03-03,1.0871,1435.0
BUENOS AIRES,25 DE MAYO,25 ALVEAR S.R.L,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2025-07-09 20:18:00,1590.0,2026-03-03,1.108,1435.0
BUENOS AIRES,25 DE MAYO,25 ALVEAR S.R.L,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2025-07-09 20:19:00,1370.0,2026-03-03,0.9547,1435.0
BUENOS AIRES,25 DE MAYO,AUTOMOVIL CLUB ARGENTINO,YPF,Gas Oil Grado 2,2025-07-20 00:00:00,1349.0,2026-03-03,0.9401,1435.0
BUENOS AIRES,25 DE MAYO,AUTOMOVIL CLUB ARGENTINO,YPF,Gas Oil Grado 3,2025-07-20 00:00:00,1493.0,2026-03-03,1.0404,1435.0
BUENOS AIRES,25 DE MAYO,AUTOMOVIL CLUB ARGENTINO,YPF,Nafta (premium) de más de 95 Ron,2025-07-20 00:00:00,1556.0,2026-03-03,1.0843,1435.0
BUENOS AIRES,25 DE MAYO,AUTOMOVIL CLUB ARGENTINO,YPF,Nafta (súper) entre 92 y 95 Ron,2025-07-20 00:00:00,1354.0,2026-03-03,0.9436,1435.0
BUENOS AIRES,25 DE MAYO,COOPERATIVA DE ELECTRICIDAD Y SERVICIOS ANEXOS DE LA ZONA SUR DEL PARTIDO DE 25 DE MAYO LIMITADA,BLANCA,GNC,2025-03-07 14:00:00,760.0,2026-03-03,0.5296,1435.0
BUENOS AIRES,25 DE MAYO,ROMERO COMBUSTIBLES S.R.L.,YPF,Gas Oil Grado 2,2025-08-01 00:00:00,1358.0,2026-03-03,0.9463,1435.0
BUENOS AIRES,25 DE MAYO,ROMERO COMBUSTIBLES S.R.L.,YPF,Gas Oil Grado 3,2025-08-01 00:00:00,1505.0,2026-03-03,1.0488,1435.0
BUENOS AIRES,25 DE MAYO,ROMERO COMBUSTIBLES S.R.L.,YPF,Nafta (premium) de más de 95 Ron,2025-08-01 00:00:00,1569.0,2026-03-03,1.0934,1435.0
BUENOS AIRES,25 DE MAYO,ROMERO COMBUSTIBLES S.R.L.,YPF,Nafta (súper) entre 92 y 95 Ron,2025-08-01 00:00:00,1363.0,2026-03-03,0.9498,1435.0
BUENOS AIRES,3 DE FEBRERO,SIVAL SRL,SHELL C.A.P.S.A.,GNC,2024-10-09 14:13:00,499.0,2026-03-03,0.3477,1435.0
BUENOS AIRES,3 DE FEBRERO,SIVAL SRL,SHELL C.A.P.S.A.,Gas Oil Grado 2,2025-04-01 00:00:00,1281.0,2026-03-03,0.8927,1435.0
BUENOS AIRES,3 DE FEBRERO,SIVAL SRL,SHELL C.A.P.S.A.,Gas Oil Grado 3,2025-04-01 00:00:00,1543.0,2026-03-03,1.0753,1435.0
BUENOS AIRES,3 DE FEBRERO,SIVAL SRL,SHELL C.A.P.S.A.,Nafta (premium) de más de 95 Ron,2025-04-01 00:00:00,1575.0,2026-03-03,1.0976,1435.0
BUENOS AIRES,3 DE FEBRERO,SIVAL SRL,SHELL C.A.P.S.A.,Nafta (súper) entre 92 y 95 Ron,2025-04-01 00:00:00,1283.0,2026-03-03,0.8941,1435.0
BUENOS AIRES,30 DE AGOSTO,LAVIANA COMBUSTIBLES S.A.,PUMA,Gas Oil Grado 2,2025-08-02 08:48:00,1480.0,2026-03-03,1.0314,1435.0
BUENOS AIRES,30 DE AGOSTO,LAVIANA COMBUSTIBLES S.A.,PUMA,Gas Oil Grado 3,2025-08-02 08:50:00,1648.0,2026-03-03,1.1484,1435.0
BUENOS AIRES,30 DE AGOSTO,LAVIANA COMBUSTIBLES S.A.,PUMA,Nafta (premium) de más de 95 Ron,2025-08-02 08:50:00,1707.0,2026-03-03,1.1895,1435.0
